ATCOCode,CrsRef
9100CHDWLHT,CTH
9100CHEAM,CHE
9100CHEF,CEF
9100CHELFD,CEL
9100CHEPSTW,CPW
9100CHESHNT,CHN
9100CHETNOL,CNO
9100CHFD,CHD
9100CHFN,CHF
9100CHHL,CHT
9100CHINGFD,CHI
9100CHIPNHM,CPM
9100CHIRK,CRK
9100CHISWCK,CHK
9100CHLFNAL,CFO
9100CHLKWEL,CHW
9100CHLMSFD,CHM
9100CHLSFLD,CLD
9100CHLTNHM,CNM
9100CHLWTH,CHL
9100CHNLY,CLY
9100CHOLSEY,CHO
9100CHORBUK,BSV
9100CHORLEY,CRL
9100CHOS,CTW
9100CHPLTWN,CLN
9100CHPWKSC,CWC
9100CHRISTC,CHR
9100CHRNGXG,CHC
9100CHRSTSH,CHH
9100CHRW,CLW
9100CHRX,CHX
9100CHSD,CHP
9100CHSLHRS,CIT
9100CHSRD,CRD
9100CHSSN,CSN
9100CHSSS,CSS
9100CHST,CTR
9100CHSW,CSW
9100CHTLRT,CTE
9100CHTR,CYT
9100CHTSEY,CHY
9100CILMERY,CIM
9100CKHL,CKH
9100CLACTON,CLT
9100CLANDON,CLA
9100CLAPTON,CPT
9100CLARBRD,CLR
9100CLAVRDN,CLV
9100CLCHHYT,HYH
9100CLCHRTN,CET
9100CLCHSTR,COL
9100CLDNNRB,CIR
9100CLDRCRX,CAC
9100CLELAND,CEA
9100CLFDOWN,CFN
9100CLHM,CLM
9100CLITHRO,CLH
9100CLMN,CIL
9100CLOCKHS,CLK
9100CLPHHS,CLP
9100CLPHMJ1,CLJ
9100CLPHMJ2,CLJ
9100CLPHMJC,CLJ
9100CLPHMJM,CLJ
9100CLPHMJW,CLJ
9100CLPM,CPY
9100CLRKSTN,CKS
9100CLST,CLS
9100CLTHRPS,CLE
9100CLTN,CLI
9100CLWALL,CWL
9100CLYBANK,CYK
9100CLYGATE,CLG
9100CLYNDRW,CUW
9100CMBH,CMH
9100CMBLEY,CAM
9100CMBRNLD,CUB
9100CMBSLNG,CBL
9100CMDNRD,CMD
9100CMER,CMR
9100CMTHN,CMN
9100CNCK,CAO
9100CNDAW,ZCW
9100CNNB,CNN
9100CNST,CAN
9100CNTBE,CBE
9100CNTBW,CBW
9100CNTLEY,CNY
9100CNTY,CAY
9100COATBDC,CBC
9100COATBDS,CBS
9100COATDYK,COA
9100CODNBCH,COB
9100CODSALL,CSL
9100COGAN,CGN
9100COKSBDG,CBR
9100COLESHL,CEH
9100COLNE,CNE
9100COLSDNS,CDS
9100COLSTWN,CDN
9100COMBE,CME
9100COMONDL,COM
9100CONBRGH,CNS
9100CONGLTN,CNG
9100CONNELF,CON
9100CONONBR,CBD
9100CONONLY,CEY
9100CONWY,CNW
9100COOKHAM,COO
9100COOMBE,COE
9100COPLSTN,COP
9100CORBY,COR
9100CORPACH,CPA
9100CORROUR,CRR
9100CORYTON,COY
9100COSELEY,CSY
9100COSFORD,COS
9100COSHAM,CSA
9100COTNGLY,COT
9100COVAREN,CAA
9100COVNTRY,COV
9100COWDEN,CWN
9100CPNHRST,CPU
9100CRADLYH,CRA
9100CRAVENA,CRV
9100CRAWLEY,CRW
9100CRBG,CRB
9100CRCK,CKL
9100CRDFCEN,CDF
9100CREDITN,CDI
9100CRESING,CES
9100CREWE,CRE
9100CRFD,CRY
9100CRGDRN,CGD
9100CRHL,CWH
9100CRICCTH,CCC
9100CRKLWD,CRI
9100CRKRN,CKN
9100CRLK,CLU
9100CRLN,CTN
9100CRMLNGT,CRM
9100CRNF,CNF
9100CRNG,CHG
9100CRNLRCH,CNR
9100CROKSTN,CKT
9100CROMFD,CMF
9100CROSSHL,COI
9100CROT,CSO
9100CROUCHH,CRH
9100CROWLE,CWE
9100CROY,CRO
9100CRPHLY,CPH
9100CRPNDPK,CPK
9100CRSHLTB,CSB
9100CRSHLTN,CSH
9100CRSKEYS,CKY
9100CRSMYLF,CMY
9100CRSNGTN,CSG
9100CRSTRS,CRS
9100CRTN,CTO
9100CRTSDYK,CDY
9100CRWHRST,CWU
9100CRWLL,CWD
9100CRWTHRN,CRN
9100CRYSTLP,CYP
9100CSEAH,IMW
9100CSFD,CFR
9100CSGT,CRG
9100CSTL,CAS
9100CSTR,CTT
9100CTMSLNK,CTK
9100CTNG,CLL
9100CTNM,CSM
9100CTTGHM,CGM
9100CUDNGTN,CUD
9100CUFFLEY,CUF
9100CULHAM,CUM
9100CULRAIN,CUA
9100CUPAR,CUP
9100CURRIEH,CUH
9100CWDNBTH,COW
9100CWMBRAN,CWM
9100CXTN,CUX
9100CYNGHRD,CYN
9100DAISYH,DSY
9100DALGETY,DAG
9100DALMUIR,DMR
9100DALRY,DLY
9100DALS,DLJ
9100DALSKLD,DLK
9100DALSTON,DLS
9100DALTON,DLT
9100DALWHIN,DLW
9100DANBY,DNY
9100DANESCT,DCT
9100DANZEY,DZY
9100DARNALL,DAN
9100DARSHAM,DSM
9100DARTFD,DFD
9100DARWEN,DWN
9100DATCHET,DAT
9100DAVNPRT,DVN
9100DAWLISH,DWL
9100DAWLSHW,DWW
9100DAWSHLM,KVD
9100DEAL,DEA
9100DEAN,DEN
9100DEGANWY,DGY
9100DEIGHTN,DHN
9100DELAMER,DLM
9100DENHAM,DNM
9100DENHMGC,DGC
9100DENMRKH,DMK
9100DENT,DNT
9100DEPDENE,DPD
9100DEPTFD,DEP
9100DERBYRD,DBR
9100DEVNPRT,DPT
9100DGLROAD,DGL
9100DGNHMDC,DDK
9100DIDCOTP,DID
9100DIGBY,DIG
9100DILTONM,DMH
9100DINASP,DNS
9100DINASR,DMG
9100DINGWAL,DIN
9100DINSDAL,DND
9100DISLEY,DSL
9100DISS,DIS
9100DLMALLY,DAL
9100DLMRNOK,DAK
9100DLMY,DAM
9100DLREOCH,DLR
9100DLTN,DAR
9100DLWYDLN,DWD
9100DMBRTNC,DBC
9100DMBRTNE,DBE
9100DNDL,DBD
9100DNFRMLE,DFE
9100DNFRMQM,DFL
9100DNLP,DNL
9100DNROBIN,DNO
9100DNSN,DOT
9100DNTG,DTG
9100DNTON,DTN
9100DOCKYDP,DOC
9100DODWRTH,DOD
9100DOLAU,DOL
9100DOLEHAM,DLH
9100DOLGARG,DLG
9100DONC,DON
9100DORE,DOR
9100DORIDGE,DDG
9100DORKING,DKG
9100DORMANS,DMS
9100DOVERP,DVP
9100DOVRCRT,DVC
9100DOVYJN,DVY
9100DOWNHAM,DOW
9100DRAYGRN,DRG
9100DRBY,DBY
9100DRCHS,DCH
9100DRCHW,DCW
9100DREMJ,DRM
9100DRHM,DHM
9100DRIFILD,DRF
9100DRIGG,DRI
9100DRKGW,DKT
9100DRMCHPL,DMC
9100DRMFCHR,DFR
9100DRMGLCH,DRU
9100DRNGTOS,DUR
9100DRONFLD,DRO
9100DRTN,DRT
9100DRTWCHS,DTW
9100DRUMRY,DMY
9100DRYP,DYP
9100DTNG,DNG
9100DUDESTN,DUD
9100DUDLPT,DDP
9100DUFIELD,DFI
9100DUIRNSH,DRN
9100DUKEST,DST
9100DULNGHM,DUL
9100DUMBRCK,DUM
9100DUMFRES,DMF
9100DUMPTNP,DMP
9100DUNANE,DBL
9100DUNBAR,DUN
9100DUNCRAG,DCG
9100DUNDETB,DEE
9100DUNKELD,DKD
9100DURSLEY,CDU
9100DVHL,DVH
9100DWBY,DEW
9100DYCE,DYC
9100DYFRYNA,DYF
9100EALINGB,EAL
9100EARLSWD,ELD
9100EASTBRK,EBK
9100EBOLDON,EBL
9100EBOURNE,EBN
9100EBSFDOM,EBD
9100EBWVPWY,EBV
9100EBWVTN,EBB
9100ECCLES,ECC
9100ECLR,ECS
9100ECPK,ECL
9100ECROYDN,ECR
9100EDALE,EDL
9100EDGH,EDG
9100EDIDBRY,EDY
9100EDINBUR,EDB
9100EDINGWY,EGY
9100EDINPRK,EDP
9100EDMNGRN,EDR
9100EDNB,EBR
9100EDNT,EBT
9100EDPK,EDN
9100EDULWCH,EDW
9100EFARLGH,EFL
9100EFNGHMJ,EFF
9100EGGESFD,EGG
9100EGHAM,EGH
9100EGLSCLF,EAG
9100EGRFRTH,EGF
9100EGRNSTD,EGR
9100EGTON,EGT
9100EKILBRD,EKL
9100ELGH,ESL
9100ELGIN,ELG
9100ELMERSE,ELE
9100ELMSWEL,ESW
9100ELMW,ESD
9100ELPHNAC,EPH
9100ELSC,ELR
9100ELSENHM,ESM
9100ELSMPRT,ELP
9100ELTHAM,ELW
9100ELTON,ELO
9100ELTR,ELS
9100ELWD,EWD
9100ELYY,ELY
9100EMALING,EML
9100EMPKWAY,EMD
9100EMRSPKH,EMP
9100EMSWTH,EMS
9100ENFC,ENC
9100ENFLDLK,ENL
9100ENFLDTN,ENF
9100ENTWISL,ENT
9100EPSDNS,EPD
9100EPSM,EPS
9100ERDNGTN,ERD
9100ERGNCHP,ECP
9100ERIDGE,ERI
9100ERITH,ERH
9100ERLFLD,EAD
9100ERLSTWN,ERL
9100ERLY,EAR
9100ESHER,ESH
9100ESHS,EST
9100ESKBANK,EKB
9100ESSEXRD,EXR
9100ESTFLDS,MTC
9100ESTHRAK,ERA
9100ESTRNGT,EGN
9100ETCHNGM,ETC
9100ETILBRY,ETL
9100EUSTON,EUS
9100EUXT,EBA
9100EVESHAM,EVE
9100EWELLE,EWE
9100EWELW,EWW
