ATCOCode,CrsRef
9100STHVIC,SOV
9100STHWICK,SWK
9100STIRLNG,STG
9100STIVES,SIV
9100STJAMSP,SJP
9100STJMSST,SJS
9100STJOHNS,SAJ
9100STKEYNE,SKN
9100STKM,SKM
9100STKNWNG,SKW
9100STKP,SPT
9100STKSMR,SSM
9100STLEIGH,SNL
9100STLNRWS,SLQ
9100STMCHLS,STM
9100STMFDHL,SMH
9100STMGTS,SMG
9100STMRYC,SMY
9100STNBGPK,SBP
9100STNEOTS,SNO
9100STNGBRN,SIT
9100STNHSE,SHU
9100STNLWAT,SNT
9100STOCTON,STK
9100STOKEOT,SOT
9100STONE,SNE
9100STOTNHM,STO
9100STOW,SOI
9100STPADOM,STP
9100STPLTNR,SRD
9100STPX,STP
9100STPXBOX,SPL
9100STRBDG1,SBJ
9100STRBDGJ,SBJ
9100STRBDGT,SBT
9100STRCROS,SCS
9100STRETHM,STE
9100STRHCOM,SRC
9100STRHILL,SRH
9100STRINES,SRN
9100STRMFRY,STF
9100STRNRR,STR
9100STROOD,SOO
9100STRUD,STD
9100STRWBYH,STW
9100STTNPWY,SPK
9100STURRY,STU
9100STVNSTN,STV
9100STWMRKT,SMK
9100STWRTBY,SWR
9100STYAL,SYA
9100SUDBURY,SUY
9100SUMRSTN,SUM
9100SUNBURY,SUU
9100SUNDRTN,SDR
9100SUNNGDL,SNG
9100SUNYMDS,SNY
9100SURBITN,SUR
9100SURREYQ,SQE
9100SUTCO,SUT
9100SUTTON,SUO
9100SUTTONC,SUC
9100SVNKNGS,SVK
9100SVNOAKS,SEV
9100SVRNBCH,SVB
9100SWALE,SWL
9100SWANSEA,SWA
9100SWAY,SWY
9100SWCH,SDW
9100SWELL,SPH
9100SWINTN,SWN
9100SWLY,SAY
9100SWNDRBY,SWD
9100SWNSCMB,SWM
9100SWNT,SNN
9100SWNWICK,SNW
9100SWRBBDG,SOW
9100SWSHEAD,SWE
9100SWYTHLN,SWG
9100SXMNDHM,SAX
9100SYDENHM,SYD
9100SYDNHMH,SYH
9100SYONLA,SYL
9100SYSTON,SYS
9100TABY,TBY
9100TACKLEY,TAC
9100TADWTH,TAD
9100TAFFSWL,TAF
9100TAIN,TAI
9100TALB,TLB
9100TALYCFN,TLC
9100TAMEBDG,TAB
9100TANY,TYB
9100TAPLOW,TAP
9100TATNHMC,TAT
9100TAUNTON,TAU
9100TAYNULT,TAY
9100TCULVRT,TPC
9100TDITTON,THD
9100TEDNGTN,TED
9100TEINMTH,TGM
9100TELFRDC,TFC
9100TENBY,TEN
9100TEYNHAM,TEY
9100THABBEY,TNA
9100THAL,THT
9100THATCHM,THA
9100THBDGS,TBD
9100THBLDSG,TEO
9100THEALE,THE
9100THELAKS,TLK
9100THETFD,TTF
9100THFORD,THO
9100THHT,THH
9100THIRSK,THI
9100THLB,THB
9100THOK,TOK
9100THOPBAY,TPB
9100THORNEN,TNN
9100THORNES,TNS
9100THPLESK,TLS
9100THRGRTN,THU
9100THTH,TTH
9100THURSO,THS
9100THUSTON,TRS
9100TILEH,THL
9100TILHRST,TLH
9100TIPTON,TIP
9100TIRPHIL,TIR
9100TISBURY,TIS
9100TIVIPW,TVP
9100TLBYTWN,TIL
9100TLSRNAU,TAL
9100TMPCMB,TMC
9100TMWTHHL,TAH
9100TMWTHLL,TAM
9100TNYPNDY,TNP
9100TODMRDN,TOD
9100TOLWTH,TOL
9100TONBDG,TON
9100TONDU,TDU
9100TONFNAU,TNF
9100TONPNTR,TPN
9100TOOTING,TOO
9100TOPSHAM,TOP
9100TORQUAY,TQY
9100TORRE,TRR
9100TOTNES,TOT
9100TOTTON,TTN
9100TOWNGRN,TWN
9100TRDYRHW,TRD
9100TREFRST,TRF
9100TREHAFD,TRH
9100TREHRBT,TRB
9100TREORCY,TRY
9100TRFDPK,TRA
9100TRFRSTE,TRE
9100TRIMLEY,TRM
9100TRING,TRI
9100TRNO,THC
9100TROON,TRN
9100TRURO,TRU
9100TRWBRDG,TRO
9100TSDARPR,TEA
9100TTNHMHL,TOM
9100TULLOCH,TUL
9100TULSEH,TUH
9100TUNWELL,TBW
9100TURKYST,TUR
9100TUTBURY,TUT
9100TWCKNHM,TWI
9100TWDBANK,TWB
9100TWYFORD,TWY
9100TYCROES,TYC
9100TYGLAS,TGS
9100TYGWYN,TYG
9100TYNDRML,TYL
9100TYNDRMU,UTY
9100TYSL,TYS
9100TYWYN,TYW
9100UCKFILD,UCK
9100UDNGSTN,UDD
9100UHALIFD,UPH
9100ULCEBY,ULC
9100ULESKLF,ULL
9100ULVRSTN,ULV
9100UMBRLGH,UMB
9100UNVRSYB,UNI
9100UPHALL,UHA
9100UPHOLND,UPL
9100UPMNSP6,UPM
9100UPMNSTR,UPM
9100UPRHLWY,UHL
9100UPTON,UPT
9100UPWEY,UPW
9100URMSTON,URM
9100UTOXETR,UTT
9100UWRLNGH,UWL
9100VALLEY,VAL
9100VAUXHLM,VXH
9100VAUXHLW,VXH
9100VICTRIC,VIC
9100VICTRIE,VIC
9100VRGNWTR,VIR
9100WADDON,WDO
9100WADHRST,WAD
9100WAINFLT,WFL
9100WALAGRD,WLG
9100WALASYV,WLV
9100WALERTN,WSA
9100WALHAMX,WLC
9100WALKDEN,WKD
9100WALLYFD,WAF
9100WALMER,WAM
9100WALNGTN,WLT
9100WALSALL,WSL
9100WALTONM,WAO
9100WANBRO,WAN
9100WANDCMN,WSW
9100WAPPING,WPE
9100WARE,WAR
9100WARGRAV,WGV
9100WARHAM,WRM
9100WARNHAM,WNH
9100WARWICK,WRW
9100WARWPWY,WRP
9100WATBECH,WBC
9100WATFDHS,WFH
9100WATFDJ,WFJ
9100WATFDN,WFN
9100WATFJDC,WFJ
9100WATLGTN,WTG
9100WATONAS,WAS
9100WATRLMN,WAT
9100WATSTND,WTS
9100WAUNGRN,WNG
9100WBRMPTN,WBP
9100WBYFLET,WBY
9100WCALDER,WCL
9100WCHAPEL,ZWL
9100WCHR,WTC
9100WCKHMMR,WCM
9100WCLIFF,WCF
9100WCOMBEP,WCB
9100WCROYDN,WCY
9100WDEN,WDN
9100WDGRNPK,WGR
9100WDHAMFR,SOF
9100WDHOUSE,WDH
9100WDLESFD,WDS
9100WDMNSTR,WME
9100WDND,WDE
9100WDNYMNR,WMR
9100WDON,WIM
9100WDRNGTN,WDD
9100WDRYTON,WDT
9100WDST,WST
9100WDULWCH,WDU
9100WDWTOWN,WNT
9100WEALING,WEA
9100WEDGWD,WED
9100WEELEY,WEE
9100WEETON,WET
9100WELHAMG,WMG
9100WELLING,WLI
9100WELNGTN,WLN
9100WELSHPL,WLP
9100WEMBLSM,WCX
9100WEMM,WEM
9100WEMYSSB,WMS
9100WENDOVR,WND
9100WENHNGR,WHA
9100WENNGTN,WNN
9100WESGTOS,WGA
9100WESTRTN,WES
9100WETHERL,WRL
9100WEYBDGB,WYB
9100WEYBDGE,WYB
9100WEYMTH,WEY
9100WGSTS,SWS
9100WHAILES,WTA
9100WHALLEY,WHE
9100WHALYBG,WBR
9100WHAMHL,WEH
9100WHCH,WHT
9100WHHL,WDL
9100WHHRTLA,WHL
9100WHIFLET,WFF
9100WHIMPLE,WHM
9100WHINH,WNL
9100WHISTON,WHN
9100WHITHVN,WTH
9100WHLAND,WTL
9100WHLE,WTE
9100WHMDSTD,WHD
9100WHMPSTM,WHP
9100WHORNDN,WHR
9100WHSTBLE,WHI
9100WHTBDGE,WBD
9100WHTCHRH,WCH
9100WHTLSEA,WLE
9100WHTTON,WTN
9100WHWLL,WWL
9100WHYTELF,WHY
9100WHYTLFS,WHS
9100WICK,WCK
9100WIDNES,WID
9100WIGANNW,WGN
9100WIGANWL,WGW
9100WIGTON,WGT
9100WIKFORD,WIC
9100WILMCOT,WMC
9100WILNECT,WNE
9100WIMBLDN,WIM
9100WIMLCHS,WBO
9100WINCHLS,WSE
9100WINDSEC,WNC
9100WINERSH,WNS
9100WINETGL,WTI
9100WISHAW,WSH
9100WITHAME,WTM
9100WITLEY,WTY
9100WITTON,WTT
9100WIVENHO,WIV
9100WKFLDKG,WKK
9100WKFLDWG,WKF
9100WKILBRD,WKB
9100WKIRBY,WKI
9100WKNT,WKG
9100WLDMILL,WMI
9100WLDNGHM,WOH
9100WLMSL,WML
9100WLNGBRO,WEL
9100WLNTNON,WIL
9100WLOE,WAE
9100WLOO,WLO
9100WLSDJHL,WIJ
9100WLSDNJL,WIJ
9100WLTHQRD,WMW
9100WLTWCEN,WHC
9100WLVR,WOL
9100WLWYNGC,WGC
9100WLWYNN,WLW
9100WMALING,WMA
9100WMBY,WMB
9100WMBYDC,WMB
9100WMER,WDM
9100WMILTON,WNM
9100WMOR,WSR
9100WMWD,WLM
9100WNCFILD,WNF
9100WNCHSTR,WIN
9100WNDSWRD,WWR
9100WNMHILL,WIH
9100WNORWOD,WNW
9100WNOTLEY,WNY
9100WNSFD,WSF
9100WNSTDPK,WNP
9100WOBURNS,WOB
9100WODBDGE,WDB
9100WOKING,WOK
9100WOKNGHM,WKM
9100WOLSHAM,WLH
9100WOLSTON,WLS
9100WOLWCDY,WWD
9100WOLWCHA,WWA
9100WOMBWEL,WOM
9100WONNAZE,WON
9100WONT,WAL
9100WOODLEY,WLY
9100WOOL,WOO
9100WORCPWY,WOP
9100WORCSFS,WOF
9100WORCSSH,WOS
9100WORKSOP,WRK
9100WORLE,WOR
9100WORSTED,WRT
9100WORTHNG,WRH
9100WOTONWN,WWW
9100WRABNES,WRB
9100WRBLNGT,WBL
9100WRCSTRP,WCP
9100WRENBRY,WRE
9100WRESSLE,WRS
9100WREXHMC,WXC
9100WREXHMG,WRX
9100WRGT,WAC
9100WRGTNBQ,WBQ
9100WRGTWST,WAW
9100WRMNSTR,WMN
9100WROXHAM,HXM
9100WRPLSDN,WPL
9100WRUISLP,WRU
9100WRUNTON,WRN
9100WRYSBRY,WRY
9100WSLE,WLD
9100WSMARE,WSM
9100WSORAER,WNR
9100WSTBRYW,WSB
9100WSTHOTN,WHG
9100WSTRFLD,WFI
9100WSUTTON,WSU
9100WTBY,WTB
9100WTCR,WCR
9100WTLESFD,WLF
9100WTRNGBY,WTR
9100WTRORTN,WTO
9100WVLSFLD,WVF
9100WVRMPTN,WVH
9100WVRTTEC,WAV
9100WWICKHM,WWI
9100WWRTHNG,WWO
9100WYEE,WYE
9100WYGN,WYL
9100WYLAM,WYM
9100WYMNDHM,WMD
9100WYTH,WYT
9100YAAM,YRM
9100YALDING,YAL
9100YARMTH,GYM
9100YATE,YAE
9100YATTON,YAT
9100YEOFORD,YEO
9100YNYSWEN,YNW
9100YOKER,YOK
9100YORK,YRK
9100YORTON,YRT
9100YOVILJN,YVJ
9100YOVILPM,YVP
9100YRDLYWD,YRD
9100YSTRADM,YSM
9100YTMNSTR,YET
9100YTRHOND,YSR
9100ZZTYALS,ZZT
9100ZZTYKKH,ZZT
9100ZZTYLIN,ZZT
9100ABWDXR,ABX
9100BONDST,BDS
9100CANWHRF,CWX
9100FRNDXR,FDX
9100LIVSTLL,LSX
9100PADTLL,PDX
9100TOTCTRD,TCR
9100WCHAPXR,WHX
9100WOLWXR,WWC
9100CSTMHSXR,CUS
9100BKRVS,BGV
9100PTWYPR,PRI
9100LEVEN,LEV
9100CMRNBDG,CBX
